"kbe"	"kbj"	"kbo"	"kbt"	"kby"	"kcd"	"kci"	"kcn"	"kcs"	"kcx"	"average"	"median"
"X10001"	12.4444444444444	0.888888888888889	8.11111111111111	6	9.66666666666667	8.11111111111111	40.2222222222222	9.33333333333333	6.33333333333333	28.2222222222222	13	9
"X10002"	16.8888888888889	2.55555555555556	11.2222222222222	38.1111111111111	20.1111111111111	14.6666666666667	53.7777777777778	19.4444444444444	10.6666666666667	35.5555555555556	22	18
"X10003"	18.5555555555556	5.77777777777778	13.1111111111111	30.5555555555556	27.1111111111111	16.8888888888889	50.3333333333333	29.7777777777778	10.2222222222222	29.6666666666667	23	23
"X10004"	17.5555555555556	3.77777777777778	13.1111111111111	22.5555555555556	19.7777777777778	16	66	28.1111111111111	8.44444444444444	31.6666666666667	23	19
"X10005"	16.5555555555556	2.44444444444444	11.2222222222222	28.7777777777778	17.8888888888889	11.2222222222222	67.3333333333333	32.1111111111111	6	30.7777777777778	22	17
"X10006"	16.1111111111111	10.6666666666667	14.3333333333333	7.66666666666667	17.3333333333333	13.5555555555556	16.7777777777778	21	15	13	15	15
"X10007"	12.7777777777778	8.22222222222222	10.7777777777778	8.11111111111111	12.6666666666667	9.33333333333333	11.2222222222222	18	9.77777777777778	16.3333333333333	12	11
"X10008"	17.1111111111111	11.1111111111111	11	12.8888888888889	19.8888888888889	25.6666666666667	21.6666666666667	25.6666666666667	16	15.4444444444444	18	17
"X10009"	14.1111111111111	7.88888888888889	12.8888888888889	10.3333333333333	10	13.8888888888889	12.1111111111111	18.4444444444444	11.2222222222222	11.3333333333333	12	12
"X10101"	23	20.5555555555556	36	25.2222222222222	28.3333333333333	36.4444444444444	20.6666666666667	33.5555555555556	29.3333333333333	20.1111111111111	27	27
"X10201"	22.2222222222222	19.7777777777778	19.7777777777778	16.7777777777778	24.4444444444444	31.8888888888889	18.1111111111111	27.5555555555556	24.3333333333333	24	23	23
"X10301"	12.7777777777778	0.777777777777778	6.66666666666667	17.4444444444444	14.4444444444444	8.55555555555556	54.3333333333333	11	7.77777777777778	34.3333333333333	17	12
"X10302"	11.6666666666667	0.444444444444444	1.44444444444444	3.22222222222222	36.1111111111111	2	50.2222222222222	8.66666666666667	0	41	15	6
"X10303"	3.44444444444444	0.777777777777778	0.666666666666667	0	1	3.66666666666667	5.44444444444444	9.22222222222222	0.888888888888889	9.77777777777778	3	2
"X10304"	10.5555555555556	1.33333333333333	4.88888888888889	2.77777777777778	99.5555555555556	5.33333333333333	44.1111111111111	21.6666666666667	0.222222222222222	43.2222222222222	23	8
"X10311"	14.3333333333333	6	14.5555555555556	9.33333333333333	27.7777777777778	17.6666666666667	18.7777777777778	17.3333333333333	16	11.7777777777778	15	15
"X10312"	2.44444444444444	3	6.11111111111111	2.22222222222222	13.7777777777778	6.22222222222222	7	7.55555555555556	4.11111111111111	7	6	6
"X10313"	1.88888888888889	2.77777777777778	2.88888888888889	0.555555555555556	9.44444444444444	4	5.22222222222222	4.88888888888889	2.66666666666667	3.22222222222222	4	3
"X10314"	0.444444444444444	2	1.66666666666667	0.333333333333333	11.2222222222222	1	36.8888888888889	1.88888888888889	1.88888888888889	2.22222222222222	6	2
"X10319"	35.6666666666667	22.4444444444444	32.5555555555556	19.6666666666667	41.5555555555556	60.3333333333333	29.5555555555556	30.1111111111111	28.7777777777778	23.2222222222222	32	30
"X10321"	4.77777777777778	1.55555555555556	0.888888888888889	14.1111111111111	23.6666666666667	1.66666666666667	33.1111111111111	27.8888888888889	0.444444444444444	18.4444444444444	13	9
"X10401"	19.6666666666667	16.8888888888889	18	17.4444444444444	21.1111111111111	30	21.2222222222222	28.1111111111111	21.1111111111111	20.8888888888889	21	21
"X10402"	19.1111111111111	15.3333333333333	22.7777777777778	20.1111111111111	18.8888888888889	28	19.2222222222222	30.4444444444444	20.7777777777778	16.5555555555556	21	20
"X10501"	35.2222222222222	31	34.3333333333333	28.3333333333333	42.1111111111111	45.6666666666667	26.3333333333333	32.5555555555556	29.4444444444444	38.8888888888889	34	33
"X10502"	35.2222222222222	34.6666666666667	38.8888888888889	36.1111111111111	41	46	30.3333333333333	35.6666666666667	32.6666666666667	46	38	36
"X10511"	37.5555555555556	23.2222222222222	35.8888888888889	30.5555555555556	40.7777777777778	53.2222222222222	19.7777777777778	33	29.3333333333333	39	34	34
"X10521"	26.6666666666667	22.4444444444444	24.8888888888889	20	28.5555555555556	31.3333333333333	20.3333333333333	27.5555555555556	26.1111111111111	25.7777777777778	25	26
"X10601"	20.4444444444444	3.33333333333333	0.666666666666667	15.8888888888889	23	28.5555555555556	5.66666666666667	22.2222222222222	7.33333333333333	7.88888888888889	14	12
"X10701"	36.4444444444444	20.7777777777778	20.3333333333333	23.6666666666667	31.4444444444444	38.4444444444444	23.2222222222222	38	15.1111111111111	31.1111111111111	28	27
"X10703"	41.2222222222222	37.1111111111111	40.5555555555556	40.1111111111111	48.8888888888889	49.3333333333333	36.6666666666667	38.3333333333333	34.7777777777778	47.3333333333333	41	40
"X10801"	24.2222222222222	16.8888888888889	23.4444444444444	14.5555555555556	28.4444444444444	34.5555555555556	26.8888888888889	28.8888888888889	28.3333333333333	26.4444444444444	25	27
"X10901"	9.88888888888889	0.444444444444444	4	43.5555555555556	35.6666666666667	5	54	23.8888888888889	0.777777777777778	29.2222222222222	21	17
"X10902"	8.77777777777778	0.444444444444444	2.77777777777778	40.7777777777778	52.5555555555556	4.66666666666667	62.2222222222222	21.4444444444444	0.666666666666667	22.4444444444444	22	15
"X10903"	7.55555555555556	0.555555555555556	0.222222222222222	36.7777777777778	53	2	44.3333333333333	25.5555555555556	0	22.4444444444444	19	15
"X10904"	20.1111111111111	0.666666666666667	1.33333333333333	39.5555555555556	78.5555555555556	4.44444444444444	12.2222222222222	24.4444444444444	0.777777777777778	15.8888888888889	20	14
"X10911"	4.77777777777778	2.88888888888889	5	2.33333333333333	6	4.44444444444444	6.11111111111111	6.11111111111111	2	7.33333333333333	5	5
"X11001"	24.4444444444444	15.6666666666667	25.4444444444444	13.7777777777778	26.4444444444444	31.5555555555556	25.7777777777778	31.4444444444444	27.7777777777778	26.2222222222222	25	26
"X11101"	26.1111111111111	22.1111111111111	29.8888888888889	22.5555555555556	32.3333333333333	33.4444444444444	22.4444444444444	35.6666666666667	27.4444444444444	32.5555555555556	28	29
"X11201"	28.7777777777778	17.4444444444444	27.4444444444444	16.1111111111111	27.1111111111111	34.8888888888889	30	32	29	28.3333333333333	27	29
"X11301"	18.3333333333333	8.77777777777778	16.5555555555556	12	19.1111111111111	21.4444444444444	16	20.6666666666667	16.4444444444444	18.8888888888889	17	17
"X11401"	22.2222222222222	4.11111111111111	16.4444444444444	8.88888888888889	17.1111111111111	20.7777777777778	12.3333333333333	19.5555555555556	12.4444444444444	16	15	16
"X11501"	6.66666666666667	0.777777777777778	2.44444444444444	3.77777777777778	10.4444444444444	2.77777777777778	36.5555555555556	11.4444444444444	1.33333333333333	17.4444444444444	9	5
