"kbe"	"kbj"	"kbo"	"kbt"	"kby"	"kcd"	"kci"	"kcn"	"kcs"	"kcx"	"average"	"median"
"X10001"	11.8888888888889	7.77777777777778	13	9.66666666666667	16	11.2222222222222	12.1111111111111	16.3333333333333	12.2222222222222	17.4444444444444	13	12
"X10002"	14.2222222222222	7.33333333333333	16.6666666666667	9.44444444444444	17.6666666666667	12.1111111111111	13.4444444444444	15.6666666666667	13	13.7777777777778	13	14
"X10003"	14.6666666666667	9	16.4444444444444	8.55555555555556	18.7777777777778	12.3333333333333	13	15.1111111111111	12	14.2222222222222	13	14
"X10004"	14	6.66666666666667	16.2222222222222	7.66666666666667	18.2222222222222	11.6666666666667	10.5555555555556	14.2222222222222	12.3333333333333	12.8888888888889	12	13
"X10005"	11.8888888888889	5.55555555555556	14.8888888888889	6.33333333333333	15.5555555555556	9.44444444444444	8.44444444444444	12.4444444444444	12.1111111111111	9.88888888888889	11	11
"X10006"	11.6666666666667	6.88888888888889	14.5555555555556	6.22222222222222	15.2222222222222	8.77777777777778	8.77777777777778	10.4444444444444	8	9.88888888888889	10	9
"X10007"	8.77777777777778	5.88888888888889	11.1111111111111	5	10.1111111111111	6.88888888888889	6.11111111111111	8.55555555555556	6.88888888888889	8.11111111111111	8	8
"X10008"	17	10.3333333333333	21.7777777777778	7.22222222222222	17.2222222222222	16.7777777777778	14.5555555555556	12	11.8888888888889	16.1111111111111	14	15
"X10009"	14.7777777777778	4.66666666666667	5.55555555555556	4.11111111111111	5.88888888888889	7	6.88888888888889	6.66666666666667	4.44444444444444	7.77777777777778	7	6
"X10101"	12.5555555555556	5.33333333333333	15	11.3333333333333	12.6666666666667	13.3333333333333	16.2222222222222	12.2222222222222	8.88888888888889	13	12	13
"X10201"	23.1111111111111	15	14.8888888888889	6.55555555555556	16.2222222222222	16.6666666666667	14.6666666666667	20.7777777777778	13.2222222222222	18	16	16
"X10301"	10.3333333333333	7.22222222222222	9.22222222222222	11.6666666666667	8.22222222222222	7.66666666666667	11	14.7777777777778	11	13.7777777777778	10	11
"X10302"	5.55555555555556	9.77777777777778	4.88888888888889	9.55555555555556	9.22222222222222	4.33333333333333	4.55555555555556	8.11111111111111	3	13.2222222222222	7	7
"X10303"	7.88888888888889	7.88888888888889	7.88888888888889	10.5555555555556	9.77777777777778	4.11111111111111	5.22222222222222	6.88888888888889	9	19.4444444444444	9	8
"X10304"	11.6666666666667	15.6666666666667	6.55555555555556	14.2222222222222	12.2222222222222	3.66666666666667	3.77777777777778	9.22222222222222	8	13.6666666666667	10	10
"X10311"	9.66666666666667	6.77777777777778	11.1111111111111	10	13.7777777777778	11.8888888888889	12.2222222222222	12.6666666666667	12.2222222222222	15.7777777777778	12	12
"X10312"	2.77777777777778	2.88888888888889	6.22222222222222	4.33333333333333	5.33333333333333	1.33333333333333	5.22222222222222	6.55555555555556	4.33333333333333	5.66666666666667	4	5
"X10313"	2	3.22222222222222	5.44444444444444	1.55555555555556	4.44444444444444	0.222222222222222	3.44444444444444	4.66666666666667	3	3.55555555555556	3	3
"X10314"	1.66666666666667	2.33333333333333	2	2.66666666666667	5.44444444444444	1.66666666666667	2.44444444444444	2.66666666666667	2.55555555555556	6.11111111111111	3	2
"X10319"	13.4444444444444	39	33.2222222222222	12.4444444444444	39.2222222222222	35.3333333333333	22.7777777777778	20.4444444444444	12.4444444444444	25.4444444444444	25	24
"X10321"	6.66666666666667	11.2222222222222	4.88888888888889	11.4444444444444	10.5555555555556	4.66666666666667	2.88888888888889	9.22222222222222	6	10.1111111111111	8	8
"X10401"	19.1111111111111	10.1111111111111	19.4444444444444	15.6666666666667	18.3333333333333	19.5555555555556	21.3333333333333	15	13.6666666666667	19.6666666666667	17	19
"X10402"	15.7777777777778	7.33333333333333	15	13.4444444444444	12.7777777777778	14.7777777777778	17.3333333333333	12.6666666666667	10.2222222222222	16	14	14
"X10501"	23.4444444444444	15.7777777777778	22.5555555555556	17.3333333333333	21.7777777777778	22.3333333333333	19.1111111111111	16.6666666666667	18.6666666666667	20.1111111111111	20	20
"X10502"	19.6666666666667	10.8888888888889	17.2222222222222	14.5555555555556	16.7777777777778	15.4444444444444	11.6666666666667	15.6666666666667	12.2222222222222	16.7777777777778	15	16
"X10511"	28.7777777777778	19.7777777777778	22.7777777777778	19.2222222222222	26	29.2222222222222	19.7777777777778	20.1111111111111	19.4444444444444	25.3333333333333	23	21
"X10521"	23.8888888888889	19.4444444444444	22.3333333333333	15.2222222222222	23	24.5555555555556	22.4444444444444	26.5555555555556	20.8888888888889	21.7777777777778	22	22
"X10601"	32.6666666666667	19.3333333333333	14.2222222222222	24.1111111111111	30.7777777777778	33.5555555555556	15.6666666666667	18.5555555555556	6.44444444444444	19.2222222222222	21	19
"X10701"	25.7777777777778	17.3333333333333	21.6666666666667	15.5555555555556	24.1111111111111	21.2222222222222	20	16.2222222222222	13.8888888888889	25.2222222222222	20	21
"X10702"	28.4444444444444	8.55555555555556	15.6666666666667	11.1111111111111	11.7777777777778	12.6666666666667	12.2222222222222	12.4444444444444	7.55555555555556	15.6666666666667	14	12
"X10703"	30	12.8888888888889	20.1111111111111	17.4444444444444	19.1111111111111	17.7777777777778	17.2222222222222	17	13.4444444444444	23.7777777777778	19	18
"X10801"	26.2222222222222	17.3333333333333	17.1111111111111	11	28.1111111111111	21.6666666666667	17.2222222222222	16.7777777777778	15.6666666666667	20.1111111111111	19	17
"X10901"	4.22222222222222	7	1.22222222222222	4.22222222222222	6	1.77777777777778	4.66666666666667	6.22222222222222	3.33333333333333	13.2222222222222	5	4
"X10902"	2.77777777777778	5.77777777777778	1.77777777777778	4.77777777777778	4.88888888888889	2.77777777777778	3.66666666666667	5.55555555555556	4	13.2222222222222	5	4
"X10903"	3	6.55555555555556	2.44444444444444	7	5.77777777777778	3.22222222222222	2.77777777777778	5.33333333333333	3.11111111111111	13.4444444444444	5	4
"X10904"	8.22222222222222	7.44444444444444	3.55555555555556	11.3333333333333	8.88888888888889	4.11111111111111	3.44444444444444	11	7.11111111111111	10.6666666666667	8	8
"X10911"	7.55555555555556	7.33333333333333	5.55555555555556	5.44444444444444	8	4.66666666666667	6.55555555555556	5	1.77777777777778	6.77777777777778	6	6
"X11001"	14.1111111111111	10.8888888888889	14.4444444444444	8	16.5555555555556	13.1111111111111	16.5555555555556	11.6666666666667	14.1111111111111	11.3333333333333	13	14
"X11101"	22.6666666666667	9.66666666666667	15.2222222222222	7.66666666666667	15.3333333333333	13.3333333333333	13.3333333333333	12.2222222222222	10.7777777777778	16.4444444444444	14	13
"X11201"	18.3333333333333	15.5555555555556	14.4444444444444	8.44444444444444	22.8888888888889	14.5555555555556	14.4444444444444	13	13.4444444444444	14.4444444444444	15	14
"X11301"	14.7777777777778	5.66666666666667	7.55555555555556	7.55555555555556	13.7777777777778	10.3333333333333	14.1111111111111	11.6666666666667	8.88888888888889	13.7777777777778	11	11
"X11401"	21.7777777777778	6.44444444444444	7.88888888888889	5.22222222222222	16.3333333333333	8.33333333333333	9.66666666666667	10.1111111111111	7.55555555555556	11.7777777777778	11	9
"X11501"	6	3.66666666666667	4.77777777777778	3.66666666666667	4.33333333333333	2.66666666666667	6.66666666666667	6.66666666666667	2	4.88888888888889	5	5
