"kbe"	"kbj"	"kbo"	"kbt"	"kby"	"kcd"	"kci"	"kcn"	"kcs"	"kcx"	"average"	"median"
"X10001"	11	5.66666666666667	10.8888888888889	9.11111111111111	14.4444444444444	8.55555555555556	10.4444444444444	13.6666666666667	10.1111111111111	14.8888888888889	11	11
"X10002"	12.7777777777778	6.11111111111111	13.7777777777778	8.77777777777778	15	10.5555555555556	11.3333333333333	13.5555555555556	11.2222222222222	12	12	12
"X10003"	12.7777777777778	7.44444444444444	13.8888888888889	8	16.1111111111111	10.6666666666667	11	13.4444444444444	10.2222222222222	11.8888888888889	12	11
"X10004"	12.5555555555556	5.88888888888889	14.2222222222222	7.11111111111111	16.1111111111111	10.2222222222222	8.88888888888889	12	10.5555555555556	10.8888888888889	11	11
"X10005"	10.6666666666667	4.77777777777778	12.4444444444444	5.55555555555556	14.3333333333333	7.33333333333333	6.55555555555556	10.4444444444444	11.1111111111111	8.77777777777778	9	10
"X10006"	9.55555555555556	6.33333333333333	11.2222222222222	5.44444444444444	12	7.11111111111111	6.22222222222222	8.44444444444444	6.22222222222222	8.55555555555556	8	8
"X10007"	7.11111111111111	5.33333333333333	9	4	8.55555555555556	6.11111111111111	5.44444444444444	7.11111111111111	4.77777777777778	6.55555555555556	6	6
"X10008"	13.2222222222222	8.66666666666667	15.6666666666667	5.44444444444444	14.2222222222222	12.8888888888889	10.7777777777778	9.77777777777778	9.44444444444444	12.4444444444444	11	12
"X10009"	10.5555555555556	4.33333333333333	4.66666666666667	3.66666666666667	4.88888888888889	5	6.22222222222222	5.55555555555556	3.33333333333333	6.66666666666667	5	5
"X10101"	12	5.22222222222222	13.4444444444444	10.6666666666667	11.6666666666667	12.4444444444444	14.1111111111111	11.7777777777778	8.33333333333333	12.2222222222222	11	12
"X10201"	21.6666666666667	10.4444444444444	12.3333333333333	5.66666666666667	15	14.3333333333333	12.7777777777778	18.2222222222222	11.4444444444444	15.1111111111111	14	14
"X10301"	9.77777777777778	6.11111111111111	8.55555555555556	10.6666666666667	7.77777777777778	6.22222222222222	10.1111111111111	13	10.1111111111111	12.3333333333333	9	10
"X10302"	4.88888888888889	7.55555555555556	3.88888888888889	7.33333333333333	8	3.88888888888889	3.55555555555556	6	2.33333333333333	10.5555555555556	6	5
